B.H.Pressure,Adiabatic Index,rhow,muw,rhoo,muo,rhog,mug,Rate,DPtotal,Water Fraction,Oil Fraction,Gas Fraction,Mix Viscosity,Mix Density
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,10.51,21.48,0.5,0.5,0.0,0.5265,0.9365
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,0.87,0.0,0.0,1.0,0.0,0.73,0.773
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,0.95,0.0,0.18,0.18,0.65,0.197275,0.457775
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,9.17,13.87,0.38,0.38,0.25,0.399875,0.752375
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,0.81,0.0,0.9,0.1,0.0,0.3637,1.0673
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,9.57,39.99,0.0,0.1,0.9,0.091,0.2573
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,8.65,30.86,1.0,0.0,0.0,0.323,1.1
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,15.03,33.59,0.0,0.8,0.2,0.588,0.6584
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,8.21,25.57,0.0,0.1,0.9,0.091,0.2573
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,10.35,12.19,0.25,0.75,0.0,0.62825,0.85475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,4.49,1.86,0.18,0.18,0.65,0.197275,0.457775
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,4.52,4.5,0.0,0.1,0.9,0.091,0.2573
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,6.1,4.09,0.25,0.25,0.5,0.27325,0.56825
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,9.84,10.15,0.25,0.75,0.0,0.62825,0.85475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,4.83,0.67,0.25,0.75,0.0,0.62825,0.85475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,10.01,10.81,0.25,0.75,0.0,0.62825,0.85475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,12.51,14.41,0.0,0.8,0.2,0.588,0.6584
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,4.72,1.06,0.5,0.5,0.0,0.5265,0.9365
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,3.1,0.15,0.38,0.38,0.25,0.399875,0.752375
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,8.39,16.39,0.75,0.25,0.0,0.42475,1.01825
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,1.64,0.0,0.0,0.5,0.5,0.375,0.4865
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,7.34,12.04,0.18,0.18,0.65,0.197275,0.457775
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,7.77,12.54,0.75,0.25,0.0,0.42475,1.01825
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,0.76,0.0,0.25,0.75,0.0,0.62825,0.85475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,8.51,23.64,0.9,0.1,0.0,0.3637,1.0673
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,0.12,0.0,0.0,0.0,1.0,0.02,0.2
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,5.71,4.64,0.18,0.18,0.65,0.197275,0.457775
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,2.54,0.04,0.25,0.75,0.0,0.62825,0.85475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,7.82,9.57,0.0,0.3,0.7,0.233,0.3719
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,6.58,1.11,0.0,1.0,0.0,0.73,0.773
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,5.58,5.51,0.9,0.1,0.0,0.3637,1.0673
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,11.32,9.3,0.0,0.8,0.2,0.588,0.6584
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,8.97,3.35,0.0,0.8,0.2,0.588,0.6584
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,9.51,24.22,0.25,0.25,0.5,0.27325,0.56825
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,4.94,0.31,0.0,1.0,0.0,0.73,0.773
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,15.9,45.22,0.0,0.8,0.2,0.588,0.6584
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,2.09,0.24,0.0,0.0,1.0,0.02,0.2
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,7.09,6.52,0.0,0.3,0.7,0.233,0.3719
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,4.29,4.7,0.08,0.08,0.85,0.095975,0.310475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,1.79,0.32,0.08,0.08,0.85,0.095975,0.310475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,2.53,0.94,0.08,0.08,0.85,0.095975,0.310475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,3.49,0.25,0.38,0.38,0.25,0.399875,0.752375
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,9.57,15.4,0.5,0.5,0.0,0.5265,0.9365
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,6.51,2.17,0.25,0.75,0.0,0.62825,0.85475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,9.31,8.29,0.25,0.75,0.0,0.62825,0.85475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,4.14,2.16,0.0,0.0,1.0,0.02,0.2
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,5.31,2.37,0.25,0.25,0.5,0.27325,0.56825
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,9.38,22.8,0.25,0.25,0.5,0.27325,0.56825
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,1.94,0.19,0.0,0.0,1.0,0.02,0.2
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,2.49,0.26,0.9,0.1,0.0,0.3637,1.0673
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,7.02,1.11,0.0,0.8,0.2,0.588,0.6584
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,4.04,1.13,0.75,0.25,0.0,0.42475,1.01825
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,8.56,6.11,0.25,0.75,0.0,0.62825,0.85475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,4.89,1.52,0.0,0.3,0.7,0.233,0.3719
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,0.24,0.0,0.0,0.0,1.0,0.02,0.2
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,10.07,31.19,0.25,0.25,0.5,0.27325,0.56825
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,3.28,0.54,0.18,0.18,0.65,0.197275,0.457775
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,6.19,10.09,1.0,0.0,0.0,0.323,1.1
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,3.83,1.0,0.18,0.18,0.65,0.197275,0.457775
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,10.32,22.43,0.38,0.38,0.25,0.399875,0.752375
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,8.75,6.62,0.25,0.75,0.0,0.62825,0.85475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,9.01,28.67,0.9,0.1,0.0,0.3637,1.0673
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,4.52,5.48,0.08,0.08,0.85,0.095975,0.310475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,1.16,0.0,0.38,0.38,0.25,0.399875,0.752375
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,1.7,0.0,0.5,0.5,0.0,0.5265,0.9365
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,6.09,3.6,0.0,0.3,0.7,0.233,0.3719
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,1.28,0.0,0.5,0.5,0.0,0.5265,0.9365
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,8.71,23.54,0.18,0.18,0.65,0.197275,0.457775
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,6.75,13.54,1.0,0.0,0.0,0.323,1.1
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,5.62,1.95,0.38,0.38,0.25,0.399875,0.752375
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,2.8,0.06,0.25,0.75,0.0,0.62825,0.85475
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,9.9,25.04,0.0,0.3,0.7,0.233,0.3719
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,9.82,29.47,0.0,0.0,1.0,0.02,0.2
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,3.85,1.89,1.0,0.0,0.0,0.323,1.1
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,16.3,38.74,0.0,1.0,0.0,0.73,0.773
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,0.96,0.0,0.25,0.25,0.5,0.27325,0.56825
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,5.78,2.2,0.38,0.38,0.25,0.399875,0.752375
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,8.09,19.94,0.9,0.1,0.0,0.3637,1.0673
150,1.001,1.1,0.323,0.773,0.73,0.2,0.02,4.55,1.77,0.75,0.25,0.0,0.42475,1.01825
