B.H.Pressure,Adiabatic Index,rhow,muw,rhoo,muo,rhog,mug,Rate,DPtotal,Water Fraction,Oil Fraction,Gas Fraction,Mix Viscosity,Mix Density
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.26487025247129,0.27118948366149004,0.4486160512077722,0.22143030012788173,0.32995364866434607,0.4133393833722572,0.66210568280036
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.3639107900141925,0.028001948291610193,0.2948696566399659,0.5952648286068851,0.10986551475314899,0.6969599053614685,0.7627698295770055
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.59844102371333,2.6531289112179746,0.3489269969601001,0.44206468299986673,0.20900832004003325,0.5769652527720899,0.7133804297416374
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.369179195675864,0.14547605710103884,0.12596358138135857,0.383275306641395,0.4907611119772464,0.42839048188492523,0.4728487654236765
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,0.04868959369388749,7.556654177921165e-08,0.7979815149524727,0.15905634731418825,0.04296213773333907,0.5022036221331345,0.9396298359872739
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.398051097824984,0.31683366636380095,0.15644484664034372,0.2950156693769763,0.54853948398268,0.3589824461401214,0.44379373310867165
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.085254028714102,0.5063062040561946,0.45067859756529355,0.4448732237973012,0.10444817863740523,0.6223888686076645,0.807699438452789
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.1340570663534764,0.01132620219945079,0.1376480735660066,0.19415461054401445,0.6681973158899789,0.25710239519307726,0.3618298739881233
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.345942907963092,0.01589435636554835,0.09708466501038086,0.439143156772349,0.46377217821727007,0.46829319773466477,0.48252625586341313
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,9.983344027683913,4.904415026741607,0.3924067648401022,0.501419546533276,0.10617368862662184,0.6505581174732843,0.7910892829228241
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.902069905272425,1.0860067731786938,0.581862380494223,0.1215629641806226,0.2965746553251544,0.3763497172010057,0.7190185749063239
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.733214088629918,1.0387845988751634,0.5615995107684474,0.018759294863693828,0.4196411943678588,0.2720429492047894,0.6344722536470002
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,13.545933550654407,13.773134703265386,0.3941155289555436,0.30243096158683336,0.303453509457623,0.46587932994204984,0.6646534334190315
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.251290791382155,0.19828557261172858,0.19555563967540177,0.7763415793108355,0.028102781013762766,0.823887707055347,0.7889420914056047
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,12.255803890794938,8.54877384549101,0.32071004352927684,0.3963898649844858,0.28290009148623735,0.5225391525188121,0.6583475327348397
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,6.39631412826317,0.44235362782118626,0.051598042781580325,0.40295404015851,0.5454479170599097,0.41543957581389457,0.4178929791269665
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,1.0989021883884538,0.0020561063797994088,0.3687176722473135,0.20461098884168266,0.4266713389110039,0.3640555830182405,0.5786438956302277
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.5142198755224525,1.890131229970006,0.4235179792439056,0.4408403526757537,0.13564166808034067,0.6072049704559108,0.7804110615696037
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.399174471444299,0.01886193431764757,0.10662677311915443,0.5253184221837601,0.36805480469708557,0.5525970573998376,0.5466298712685298
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,1.7985017610486949,0.0061206798215065845,0.019968250721352842,0.6526693469324818,0.3273624023461655,0.6347926736154664,0.5497520575028263
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.843169708069741,0.8639259785088662,0.46885112503060955,0.14633268988082054,0.38481618508856996,0.351883835462338,0.632200629009174
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.867474334793849,1.180315282443624,0.6942309448767534,0.2879308140911906,0.017838241032055925,0.5786280979984124,0.9281918747053979
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,11.592153645963714,9.637125578024266,0.5014802837702007,0.3476007921554178,0.15091892407438148,0.5531324134333262,0.7913227035182312
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,10.154731572532395,4.051435326971745,0.2047824372295484,0.7069269963730325,0.08829056639741902,0.7630958538632253,0.7526836359962399
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,12.87617195536586,5.673061610980681,0.09576840882979987,0.3605839502402911,0.543647640929909,0.39454583603357596,0.43080023410260926
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,0.9275991895378033,0.0014157539787066856,0.4551840870022623,0.0924119760834571,0.4524039369142805,0.2958961835188087,0.5850927549193364
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,0.5404773184890506,7.04078875771159e-05,0.0011525001023562449,0.45361548554151887,0.5452320143561249,0.44141840467209437,0.40461333339336725
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.241493787245852,0.17084116087487816,0.22405705757138586,0.3967649186205958,0.3791780238080183,0.48222667879909115,0.5707118724006712
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,11.689551507546238,3.931239007169716,0.018994939403235687,0.5866990691648818,0.39430599143188244,0.5729186937478615,0.5064350401922738
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.179050123240341,0.6886288814029013,0.09326534814855525,0.27322174207181277,0.633512909779632,0.31209742905440513,0.3723330790372564
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,8.296020242936116,3.0329212252738444,0.508932268103108,0.3237060300234053,0.1673617018734866,0.5340047133637843,0.7827289366704
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.132545997771418,0.37694296217438256,0.28162371976437456,0.38657551128903195,0.33180076894659366,0.49695150277286343,0.6164976548708747
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,14.064010047920315,16.37828383553157,0.4043919350243752,0.45979149196452274,0.13581657301110206,0.6168154201281004,0.775211034955743
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.242521885423977,0.3434914236643186,0.6049982855422291,0.2012189501987948,0.193782764258976,0.46029847462783297,0.7912884699828595
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.529612097761153,0.7109463606563933,0.4868687159918073,0.3411868435028719,0.17194444050532096,0.541009450909379,0.7739124143207985
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,13.836187517869984,5.836769823320392,0.04575167846735601,0.3074542004178198,0.6467941211148241,0.3240028096604994,0.3511519677712618
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,2.0281567180371707,0.01487856320353353,0.21652081208268859,0.6931447163157511,0.09033447160156026,0.7551932378345724,0.7544914038798716
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,0.9636785712919416,0.0008005230040443157,0.15508614193030684,0.3664027439052847,0.4785111141644085,0.4249221764066338,0.4884745651229141
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,3.146651245719053,0.08649481786778296,0.39804368775917803,0.42636801285063114,0.17558829939019086,0.5830040570132192,0.7479412267761707
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,10.814835568706414,7.0875738202973375,0.45483257566748886,0.1997516303121418,0.34541579402036926,0.39575665854513503,0.6538140264136504
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,6.760455291536974,1.3748829689894364,0.4123522164456227,0.06553673882421028,0.522111044730167,0.2528371570211902,0.5288638656040922
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,3.9285211237479265,0.12404149802333743,0.2036921225684926,0.3890122917051745,0.40729558572633306,0.4664360281462759,0.5472095838640417
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.877073628837305,0.27215963067851584,0.19762493092879072,0.052252037162541426,0.7501230319086678,0.1501240314660821,0.32508909750340315
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.5515943961242975,0.36831661634855634,0.17145652610304332,0.3154673963724956,0.513076077524461,0.38435273373180445,0.47059690287967615
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,12.16938630181873,9.355691835006075,0.3410662801235521,0.6267265500174004,0.0322071698590475,0.7457077106991904,0.8250079788595254
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.683686262995425,0.5481931515056712,0.24581554711257628,0.6050906338228551,0.14909381906456864,0.6854775442030149,0.7244897911096148
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.148334666022605,1.2802107277141952,0.30345131118573576,0.45207240901853374,0.24447627979573058,0.5671578300984069,0.6784709056107918
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,7.909788107658416,2.0254946788405643,0.32220924506040377,0.6398345728019315,0.03795618213766481,0.7499873008764714,0.8162942428351214
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.793938493782868,0.24772562759138841,0.18022892071280133,0.4909205874132624,0.3288504918739363,0.5515130182368121,0.5914242565362894
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,14.318019820772147,14.18524442399779,0.27834678423897,0.5306649624064254,0.19098825335460462,0.6298210376034011,0.7061966000498843
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.719576611580331,0.36631986792489785,0.41026710225404506,0.1585046213853106,0.4312282763606443,0.3385781256629706,0.5867650218444095
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,5.024943690205,0.30484625569020957,0.2041989941486944,0.4680167481391173,0.3277842577121883,0.5402577210795713,0.5984860978830733
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,12.758520955949631,11.29608039153349,0.3938576169858308,0.1875217804947699,0.41862060251939925,0.35870994235291614,0.5905093545777534
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.00570579519203,0.10473516758580069,0.1435133597383627,0.22724558878688667,0.6292410514747506,0.2904007855146715,0.3884467093818449
145.0,1.4,1.021,0.439,0.755,0.95,0.1118,0.0183,4.888293673781931,0.46174207969349346,0.4678948655710916,0.15092269324859836,0.3811824411803101,0.35575804324547733,0.6342834880747349
